Die Code,5D,Wild Die
1D,0,0
2D,0,4
3D,0,7
4D,0,11
5D,0,14
6D,4,18
7D,7,21
8D,11,25
9D,14,28
10D,18,32
11D,21,35
12D,25,39
13D,28,42
14D,32,46
15D,35,49
16D,39,53
17D,42,56
18D,46,60
19D,49,63
20D,53,67
21D,56,70
22D,60,74
23D,63,77
24D,67,81
25D,70,84
26D,74,88
27D,77,91
28D,81,95
29D,84,98
30D,88,102
31D,91,105
32D,95,109
33D,98,112
34D,102,116
35D,105,119
36D,109,123
37D,112,126
38D,116,130
39D,119,133
40D,123,137
41D,126,140
42D,130,144
43D,133,147
44D,137,151
45D,140,154
46D,144,158
47D,147,161
48D,151,165
49D,154,168
50D,158,172
